"","text"
"1","@ScottNa61771645 @OccupyDemocrats Check out Jury Verdict.  
Your tiny little point came up in the trial- I think it… https://t.co/UUYF2M4x7W"
"2","@mae_kimberley @FreshWhittaker @lrfesq1 @ChangeDesperate @rgoodlaw https://t.co/f7k98o2fPx"
"3","@mae_kimberley @FreshWhittaker @lrfesq1 @ChangeDesperate @rgoodlaw The attorney’s contemporaneous notes of his advi… https://t.co/mF6Xuv80T9"
"4","@mae_kimberley @FreshWhittaker @lrfesq1 @ChangeDesperate @rgoodlaw Moving to quash or fighting subpoena through cou… https://t.co/8qCsPLxRL5"
"5","Wreck-fidera: How Medicare Part D has hidden the benefits of generic competition for a blockbuster Multiple Scleros… https://t.co/FGL7Ojr61t"
"6","Lordy, don’t we have more important things to litigate beyond a mural of donuts and a sun painted by students? https://t.co/XoA8zLvfGd"
"7","@MoschbergerD @LakotaMan1 Charles could have made an exception for his son or he could have given Harry a formal ro… https://t.co/nxxF0xt8aT"
"8","@MoschbergerD @LakotaMan1 Let’s be honest.  It’s a choice. You can agree or disagree with the choice but that’s wha… https://t.co/r6TH1LhlG7"
"9","Potential legal issues - interesting.  I have no opinion beyond the fact that I need to do some research &amp; thinking… https://t.co/I669EGV4Ti"
"10","@Chrissy_NC @MuellerSheWrote 🤣"
"11","@rdembia @MuellerSheWrote It seems apparent that Kaplan gave Trump until Sun. to make a crystal clear record that h… https://t.co/eLsSkX35uN"
"12","@LambertNolen @MartyTa94849826 Well whether one agrees or not, the jury found him not criminally liable so there wi… https://t.co/CNcTIDHTL3"
"13","@im_thinking2 @GavynnnOrig @MartyTa94849826 It’s not slander bc is a statement of opinion which is a personal belie… https://t.co/s4uSM4gmXb"
"14","@Deadhead722 @Rainbird42true @KlasfeldReports It is a Federal Civil trial under federal rules of civil procedure."
"15","@MaryDivers77 @Rainbird42true @KlasfeldReports It’s a federal civil trial not under NY state rules of civil procedu… https://t.co/VkvTZg9NkW"
"16","@CobraSa46 @skyshep $787.5 million settlements are not made lightly. The extensive proof was the driver. Dominion w… https://t.co/8eQlUBrBox"
"17","@Bob473875924871 @Ennuibert @chrislhayes Trump derangement syndrome"
"18","@adam_mcquarrie @Manuel_Vidal @TheycallmejustA @DocJDoe @JazybluSarah @chrislhayes economy is good. That’s where th… https://t.co/sEn4VtCxe0"
"19","@adam_mcquarrie @Manuel_Vidal @TheycallmejustA @DocJDoe @JazybluSarah @chrislhayes It’s a matter of how much is too… https://t.co/Ec1Njboi07"
"20","@adam_mcquarrie @Manuel_Vidal @TheycallmejustA @DocJDoe @JazybluSarah @chrislhayes It is far better to look at the… https://t.co/dhgYZPt1cF"
"21","@nsanenbrane @SylviaDonoghue5 @Lie_Navigator @Acyn And yet there are women who are denied medical help because ther… https://t.co/p8QrNXqCfw"
"22","@nsanenbrane @SylviaDonoghue5 @Lie_Navigator @Acyn It doesn’t matter what Planned Parenthood says.  It matters how… https://t.co/lvneK4sRuk"
"23","@Bank1k @greschis @Edgeycated @nowthisnews Extremists labeled medical tragedies as ‘Late Term Abortions’ to try &amp; s… https://t.co/P8IjRlLIhb"
"24","@Bank1k @greschis @Edgeycated @nowthisnews Exactly. Late term abortions are for wanted pregnancies. Horrible circum… https://t.co/hPDuPoyuB7"
"25","@nsanenbrane @SylviaDonoghue5 @Lie_Navigator @Acyn Did you even read this? An ectopic pregnancy is not a dead fetus… https://t.co/hpFVG5OG9P"
"26","@monkeygrabbr @RegVickers @JoyceWhiteVance I didn’t say your source was bad.  I said you weren’t looking at the sam… https://t.co/vhYRuBYz3i"
"27","@monkeygrabbr @RegVickers @JoyceWhiteVance You are comparing data from different time frames and then seem surprise… https://t.co/I4OOma7y2c"
