"","text"
"1","@Effie_Yu1 @ACTBrigitte https://t.co/jtoUapfdU9"
"2","@Effie_Yu1 @Trucknutz6 @ACTBrigitte So when he wins the electoral system is good but when he loses it is not. 

The MAGA logic 🙄"
"3","@Effie_Yu1 @ACTBrigitte Ok….what polling?"
"4","@SpeakerMcCarthy Take of your mask, Mr. speaker. This is a cheap political move to use the default to create a poli… https://t.co/0D5O569r5i"
"5","@arizona_jack8 @NickAdamsinUSA Says the righturds?"
"6","@Effie_Yu1 @ACTBrigitte Lol. And if he wins then the electoral system is good?

The majority of Americans support T… https://t.co/AEy5fx8Nzf"
"7","@singmatedie @ACTBrigitte Good question…don’t know.

Again, if Trump loses again, will it be a stolen election? 

I… https://t.co/FcV9JRz9tG"
"8","@ACTBrigitte If he loses the election it will be  stolen. If the same electoral system gives him a win…..would it still be stolen? 🙄

Pfffff"
"9","@NickAdamsinUSA Why would anyone fear you?"
"10","@RepMTG Totally unfit"
"11","@RepMTG No"
"12","@elonmusk How do you separate your political views and biases from Twitter? How do you eliminate the potential conflict of interest?"
"13","@AZNana262 @christianllamar It means that now whenever a Republican loses an election it is stolen. If the same ele… https://t.co/zg7xu8RZwy"
"14","@christianllamar What a load of cacadoodledoo! Every time there is an election lost it is stolen?  Pfff!"
"15","@NvrBackDown24 @ProudElephantUS Fake Republican that pushes big government. Also, just another MAGA follower disgui… https://t.co/qoKfBIqH7i"
"16","@RepAndyBiggsAZ That’s a “woke” move isn’t it? You are proposing to defund a major arm of our security and law syst… https://t.co/8NQorT0uIO"
"17","@CNN It will be a joke and will go nowhere."
"18","@NickAdamsinUSA And we should care because….?"
"19","@RepMTG Get a job Margie……."
"20","@4Mischief The only country in the developed world with such problems…….more guns is obviously not the fix"
"21","@g_berish @NickAdamsinUSA Trump is the golden calf…..a false idol built on BS"
"22","@nking5912 @NickAdamsinUSA Another Christian, right?"
"23","@TheRevIV @NickAdamsinUSA Reverend of the Church of Maga? Anyone can call themselves a reverend and preach their ow… https://t.co/LLXsjPLMFI"
"24","@Alt1J @NickAdamsinUSA But he is a man of God! A true Christian……..An alpha that only eats at Hooters and loves foursomes with his buddies"
"25","@NickAdamsinUSA How much do you get paid to do this?"
