"","text"
"1","Gutfield is one of the most stupid programs on TV.  Thank you Fox, for giving the world continued lies."
"2","Andrew Tate is a real asshole.   IMHO"
"3","A lot of bullshit, Tulsi. https://t.co/R3XBYns53A"
"4","Please, Alex, count down final 10 seconds for participants.   It is so important! https://t.co/2tqjndC1OE"
"5","Not many alive today would qualify. https://t.co/bJi8OuoNtT"
"6","She really is as stupid as she appears....amazing. https://t.co/0crDTOi92d"
"7","please remember this. https://t.co/cBwmSviu4f"
"8","NO...just have Dochey's mouth covered with duct tape during. https://t.co/HYpLxsGMJg"
"9","Russel Brand I’d an asshat!"
"10","Totally https://t.co/HDSug6Tc63"
"11","While your party trams on every other freedom.  The Repibs simply cannot live and let live.  They have to make ever… https://t.co/hizQcRTpYh"
"12","I can see why the right hates her...she is brilliant...the right hates brilliance....just look at their leaders...I… https://t.co/kHZpBltoIE"
"13","Matt thinks Putin will stop sending checks if we give Ukraine any more....Matt loves Putin. https://t.co/IwMJCi53AB"
"14","Not all immigrants are illegal.  We should all rue the day your ancestors were allowed to stay. https://t.co/41Huekqw6O"
"15","Ted, you forget the Tax cuts that the marshmallow president gave that hiked the deficit....start governing for the… https://t.co/wthywQvNF5"
"16","You really are as stupid as you look. https://t.co/LAlzkpgJGD"
"17","But most of them should be legal. https://t.co/OCgOEYcnqC"
"18","You are a real dufus. https://t.co/0JmwUG0tD9"
"19","You really ARE as stupid as you look. https://t.co/NgfuihxOjj"
"20","Show me you are an asshole without telling me you are an asshole. https://t.co/jZnRMj4hd4"
"21","And Faux News isn’t, right? https://t.co/f1F8uBw1Yz"
"22","And you, like the rest of your shady friends, blame Biden for world-wide inflation. Do you realize how stupid that… https://t.co/i5DunQPUD5"
"23","It also proves he keeps score. https://t.co/O1n5XXEVzR"
"24","Talk about something to make you puke! https://t.co/lLBuW40QE5"
"25","And both are 
dumb as a box of rocks. https://t.co/Kh8CgOLKQZ"
"26","And anyone silence this bitch? https://t.co/7BoIf7af7x"
"27","He continues to be an asshole. https://t.co/mAe35qiwva"
"28","@robreiner Bravo!"
"29","@SarahHuckabee Another Republican trying to bring down our Constitution.  When will it stop?"
"30","@DonaldJTrumpJr What business is it of your?  He is a private citizen. MYOB which is discgraceful."
"31","@laurenboebert After 4years of Trump drivel, you should remain silent."
"32","@RonFilipkowski Tell me you are stupid w/o telling me you are stupid."
"33","@otter1043 @SimonMajumdar @GuyFieri @EatFellowHumans Why no Brooke?  She is my favorite."
"34","@laurenboebert Unbiased coup?    Wow!"
"35","@laurenboebert You really are that stupid.  Thought it was an act."
"36","@realTuckFrumper Why would they celebrate a murderer?"
"37","@SpeakerMcCarthy Safe from equality, no doubt!"
"38","@laurenboebert You are one wretched person.  You fail to see the differences.  HTF did you ever get elected?"
"39","The insurrection it’s party?   I don’t think so. https://t.co/4cJf39XGiC"
"40","@laurenboebert OMG!  Trump tried to burn down our democracy, and you now claim YOUR party is trying to save it?????  You not be more wrong!"
"41","Silence is complicity.... https://t.co/c64QTaDonQ"
"42","Wow...they are becoming more and more Republican in Russia. https://t.co/2zZTPXN09o"
"43","Go get ‘em Joe! https://t.co/WByNTVn2Dv"
"44","@NathanZegura What happened to CBD?  Is bye week a vacation for you guys?"
"45","List of hypocrites.....nice to summarize. https://t.co/N0Ha0Y9kkj"
"46","MAGA asshole is redundant. https://t.co/A7aQPHJ84G"
"47","@NathanZegura pal is derogatory.....period"
"48","Hey shithead, the inflation is due to the pandemic...so give it a rest. https://t.co/8jUECs3Sff"
"49","This from a man who is so ugly, he has to pay for sex... https://t.co/6eY0P1GYc4"
"50","As you screw the democrats daily.... https://t.co/P6nbvdvE9A"
"51","Brava! https://t.co/iTMD6XQsmU"
"52","@NathanZegura The stream has no sound."
"53","It is one thing to be delusional, it is another to broadcast it. https://t.co/YFCr0LTcYp"
"54","Boy, ""Flock of Seagulls"" did NOT age well! https://t.co/3c4OcoM6Wj"
"55","Asshole comes to mind. https://t.co/HUGKkLgVXL"
"56","I feel the same thing.  I love Christian, but he suffered  the same disqualification as Madison.  Explanation neede… https://t.co/nE5lidSC33"
"57","Was a fan up to now. https://t.co/p83HeioZSz"
"58","Even in defense they sound stupid. https://t.co/q8zseAh0I9"
"59","I guess they do not cover geography in the GED prep. https://t.co/L3SH0C73Lo"
"60","I love it. https://t.co/VXrBlmJcJG"
"61","Delicious. https://t.co/stqD29OaC8"
