"","text"
"1","@Artmeetcommerce @CNN 🤣🤣🤣"
"2","@domain_loco @CNN So does Facebook,  Instagram,  and Whatsapp."
"3","@bobbycaldwell He will be missed 😢"
"4","@Geoff588611 @ericareport True. See if would continue about making cuts to SSI &amp; Medicare"
"5","@ericareport Yes"
"6","@TRINArockstarr 🔥🔥🔥"
"7","@CalltoActivism Real talk!!!"
"8","@ReverendWarnock Don't make him look too bad."
"9","@robreiner Can't wait!!"
"10","@JoJoFromJerz @joncoopertweets @CalltoActivism Amen!!!"
"11","Beleive none of what hear and half of what you see"
"12","My next episode of "" All Worked Up "" will be on 6-27-11 @ 10:00 pm. Mark your calenders"
"13","LET'S GO HEAT! !!!!"
"14","WTF happened Heat! !?"
"15","CAN NOT MESS WIT DA HEAT!"
"16","My episode comes on at 10."
"17","CHICAGO BULLSHIT! !!"
"18","Bulls a crumblin! !!"
"19","Heat just got it in. GO HEAT!"
"20","To all who are attending the Georgetown High Get Together this is the last week to pay for your hotel. Don't miss out!"
"21","Don't forget to watch me tonight @ 9 on Trutv. All Worked Up"
"22","HAPPY MOTHERS DAY TO ALL THE REAL MOTHERS HOLDING IT DOWN!"
"23","Just finished shooting this season of All Worked Up. Whoo hoo !"
"24","Don't forget to watch me on Trutv @ 9. All Worked Up"
"25","""A lie has to be rememberd - the truth can never be forgotten."""
"26","Tonight @ Club Play and party with Philadelphia Eagles own Asante Samuels and Detroit Lions Louis Delmas with DJ Stevie J."
