"","text"
"1","@CarmineSabia https://t.co/PrAvXytfoq"
"2","@LisaKitter @Pro__Trading @ro45157094 PedoDon doesn't care about you https://t.co/qgKukd5FJD"
"3","@angie_anson @POTUS https://t.co/o7Ls7NlImM"
"4","@SpeakerMcCarthy It's a #GOPCLOWNSHOW https://t.co/HMmDl1g6gu"
"5","@BlackTzedek @roywoodjr No wonder why it's always hard to get a table! Go Red Lobster!😊"
"6","@TAC_B8 @RNCResearch https://t.co/pveY2AfN7f"
"7","@Glenn99352879 @RNCResearch @browneyegirl400 https://t.co/H8XXVv96ur"
"8","@joemill37087868 @RNCResearch https://t.co/EhPpNy8SPC"
"9","@RNCResearch https://t.co/zIXnwlI6lB"
"10","@RonDeSantis https://t.co/jcfxM3w5a3"
"11","@KariLake @jeffc1959 https://t.co/qEfbg03BOk"
"12","@KittyFa66851878 @J18149952 Get help. https://t.co/ta9RxV0nGY"
"13","@tedcruz https://t.co/EWKVdVXsDP"
"14","@Kittaene @wamp54321 @PatMaguire10 https://t.co/OKTZ07ueIC"
"15","@Kittaene @PatMaguire10 https://t.co/HNqDNUWYjo"
"16","@KellyLA_2028 @MikeSington https://t.co/4WTYRvqZ7r"
"17","@Satoshi68648885 @gasberryparie @JaneCastor https://t.co/5gL6LKNXkt"
"18","@jojosev @dbreeze2 @JaneCastor https://t.co/hiqnuKvZtj"
"19","@GATRGAL1 @JaneCastor Please keep fighting FL DEMS!!💙💙💙"
"20","@KarlEggers3 @DC_Draino https://t.co/4jbe9LCh2F"
"21","@RonFancy @SRSnow619 @DC_Draino https://t.co/1eUxRyMScD"
"22","@Jo_WhenPigsFly @TheStormRedux @Jim_Jordan https://t.co/as9aI156l3"
"23","@McDebida https://t.co/ZU96LuGp53"
"24","@triciacotham How much were you paid to switch parties and become a tool for the GOP? Just curious how much it take… https://t.co/lEHUqBiQkf"
"25","@13steps2nowher @ByronDonalds https://t.co/HAz3hkpxb2"
"26","@newtgingrich https://t.co/4ZV0QbrPlz"
"27","@SpeakerMcCarthy President Biden and ""Radical Socialists"" care about the people of this country. Kev-o and his Insu… https://t.co/q97kScJBb8"
"28","#NoDemUnder1k 💙💙💙 https://t.co/GLl2FwxM0a"
"29","@atensnut https://t.co/b7W6WTyzcq"
"30","@OleMurica https://t.co/KvlCnqOZwV"
"31","@DannyC_DC1111 https://t.co/QHfPl8EgqE"
"32","@SnarkyCatCorn https://t.co/tBSnWk1g9M"
