"","text"
"1","@NBCNews Thank you Montana, I appreciate you !!!! Stop poisoning our kids, with confusion."
"2","@RatedRnB @donelljones96 Happy Bday where have you been @DonnelJones ? Enjoy ya day, we the people waiting for you !!"
"3","@FoxNews @Franklin_Graham Amen !!!!"
"4","@DrSamR_ Do not be listening to this, if you have a Dr this young, they skipped through half the education, DO NOT… https://t.co/3zLh03vkMN"
"5","@blackenterprise Retirement ? Really @carmeloanthony smh"
"6","@joncoopertweets You got the wrong one though 😂"
"7","@boxingscene Make it happen @TysonfuryFury"
"8","@boxingscene Fvk I'm mad I missed this, Congrats !!!! Champ"
"9","@XXL Krs 1 is not their so you don't have the best yet"
"10","@SenJoniErnst @SenJoniErnst Biden didn't fail them, they been failed from when Washington built the Constitution, y… https://t.co/PHab3yEbdr"
"11","@SenJoniErnst Whoa, how will they profit off retirees ?"
"12","@wasterecycling @WilliWaste Wear gloves these plastics can hold saliva, and diseases. Cans, glasses, it is unsafe t… https://t.co/avAoLktzME"
"13","I'm still here, feeling like crap, allergies killing me, my party mix good though. https://t.co/9ZqBNOrY2w"
"14","@jdubbya308 @RepJamesClyburn @POTUS The concept is not simple, they are giving you money they don't even have for y… https://t.co/qd8H7k6BXD"
"15","@RepJamesClyburn @POTUS Great finish overcharging everybody for a failed System @POTUS @RepJamesClyburn"
"16","@nathaliejacoby1 Biden wants some love, up my phone bootleg can't do blue hearts 💕 take that !!"
"17","@365OTG @OTGDaily I gotta watch them all, it's no first"
"18","@tvonetv @NaomiCampbell Happy Bday to my favorite, well 1 of my favorite top models Naomi Campbell !!!!"
"19","It's a beautiful day, I also wonder why in the recycle world do we have states to decide who gets a Nickel or dime… https://t.co/z09YayM7wI"
"20","@OurOcean this is the red ban that's stops companies from accepting Poland spring. I hear it's a New Jersey thing,… https://t.co/vVtSDNqHSh"
"21","@tvonetv @NaomiCampbell Happy bday @naomicampbell"
"22","Utz party mix back, 1 dollar more, 25 % chips 75 percent air !!! Choose eels Ely, even on foodstamp it's a budget.… https://t.co/Dux6HSzHMh"
"23","All Torcherers should go to Guantanamo Bay, in this life somethings you just don't DO !!!! Keep Guantanamo Bay Open… https://t.co/DGlEQJBJP6"
"24","Love is an excuse, I stole ya kids, crib, education, destroyed you Healthcare licenses with abuse allegations.....N… https://t.co/Lgo7GDQs1b"
"25","Great part, you no longer have to learn, or go to school, you can enter minds and steal thoughts 2024 ish 
Live, lo… https://t.co/z2oBOIGD3M"
"26","@AZ_Brittney Shout out to the new Mobile recertification Van, that teaches NYCHA tenants how to recertification the… https://t.co/k4HDdyRzV5"
"27","Trump "" people did that never died before"" 
Covid behavior !!! 
I think I might like this guy"
"28","Power today is a favor, you keep your Mouth shut, and I'll be quiet, while we rob the people trying, to share their… https://t.co/yL9D972EMl"
"29","It's rob a tenant week, as long as it builds up the economy it's OK, WE WILL MAKE IT BETTER !!!!! Welcome to Americ… https://t.co/36hpWFDSmF"
"30","Shout out to the elders that's explaining to kids, why thy ripped their life apart, to watch their independent pare… https://t.co/cuViyk5B7Z"
"31","@SenJoniErnst @Riley_Gaines_ Say thar loud again !!!! It started with Trump though MAGA !!!!! Excuse me, whn was Am… https://t.co/2gniAGiUXs"
"32","@VP So LA didn't have any Maternal nothing until now ? America have Wic, and foodstamps, show us what comes with their maternity pack @VP"
"33","Hello 👋 hi I know you there, so tell the world how you lived in a internet connection read post that won't go throu… https://t.co/sTDIeljNzK"
"34","Becareful of those looking in on your life, see your happiness, your hardwork, dedication to your home. To snatch i… https://t.co/2QLk098EUL"
"35","@XXL He's a street pharmacist !!! Dr's sell drugs thy pharmacist. Thy both have side affects, and cause possible de… https://t.co/bGJ1gc0AWu"
"36","Since everybody smart now, after we dumbified me, US them, leave me alone, it's a lot of degrees with no interrupti… https://t.co/Gycyh4IntS"
"37","Congratulations to very body that gets College graduates with no problem, hope you don't get robbed for your educat… https://t.co/QV6WHNM4iE"
"38","@FaceTheNation @NYCMayor @margbrennan @NYCMayor is this why our Apts are getting smaller, and it's more storage pla… https://t.co/DuBTYCP9xF"
"39","@recyclemore Half the cans aren't accepted, half the plastics aren't accepted, machines never up, being nobody watc… https://t.co/awJqhIpWl4"
"40","@TheBWSTimes Beyonce gonna get you pardoned 😂"
"41","@recyclemore New York and NJ is rear. Arizona have companies in NY, yet they don't give us a deposit. 
50vitamin wa… https://t.co/UEleFLfLdL"
"42","@TheSource Bout time"
"43","@MyIconJanetMita @JanetJackson I would go crazy for a Escapade moment ugh these Jackson's!!! They just dope"
"44","@DailyLoud She's a ffaud, woman has a whole fanily,friend's  support and rich. Play Ingle parent in poverty, nobody… https://t.co/H4fSwAI3OT"
"45","Reason I'm banned from food Bazaar, and trader Joe's only want ht their name Is on. They ont even accept what they… https://t.co/oSJLIzqkoE"
"46","@wasterecycling @Stericycle_Inc @recyclemore @RecyclingToday your recycle machines are under attack, the need locat… https://t.co/v58qAFv1h5"
"47","@MagicJohnson I'm 44 years old so y career my age, lol I'm tryna be like @MagicJohnson, he really wishing cause tha… https://t.co/7Df2dbu0vA"
"48","This is all we doing is shutting down the garbage compacter, so @NYCMayor how do we stop the Rats if housing feedin… https://t.co/j36VTt8gog"
"49","All these notes, yet the staff uneducated, I've watched them expose a tenant to asbestos claiming its in the apartm… https://t.co/znZecZWYPD"
"50","This is how NYCHA has red hook west tenants living, it's sad all the millions of dollars all we can do is paint the… https://t.co/NcpSJUl6xM"
"51","Own products. How do we save the Oceans, lakes, and poisonous metals if all supermarkets only accept certain states… https://t.co/Jxa8OLjjXr"
"52","Trader Joe's be denying recyclables, and the majority of their products don't even say Trader Joes.. This is a tota… https://t.co/b6QTPfNRY5"
"53","@Barclays yes the recycling machines, are always down, in thus area, and Trader Joe's, is only accepting Trader Joe… https://t.co/FwVh6yKx31"
"54","This is the problem with Stop and shop. And target in Brooklyn on Atlantic Ave. Hov and Beyonce training people, ca… https://t.co/n2f3WCSRFJ"
"55","These the bottles Trader Joe's don't accept, the cans key food won't accept, and food Bazaar is banning people from… https://t.co/NZTj28qXun"
