"","text"
"1","@itsJeffTiedrich https://t.co/ShPtVGA8Xs"
"2","@RepNancyMace @RepNancyMace = 💩🤡"
"3","@davidhogg111 @IngrahamAngle Awesome!!!"
"4","@VernonForGA The 💩🍊🤡 aka Individual 1 only cares about himself…. you obviously have yet to learn that #ETTD"
"5","@VernonForGA 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…:.breathe….😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂"
"6","@Target Send this thread to your CMO https://t.co/og6aVJYBj4"
"7","@Jason 😂😂 Sorry but no thanks….. https://t.co/xf7QHjQGHA"
"8","@nytimes #DoBetter https://t.co/b41i1oHu4a"
"9","@latimes Ah yes, conservatives doing their best to raise a new generation of ignorant bigots."
"10","@profgalloway @karaswisher @PivotPod Why indeed are we sending billionaires into space…. https://t.co/N4fVrHqP7L"
"11","@followtheh 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…..breathe……😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂"
"12","@latimes @latimesopinion Nope"
"13","@RepNancyMace Anyone with evidence that @repnanymace is actually this stupid please comment below. Oh wait, no need… https://t.co/Y6s0uLCv8F"
"14","Ahem…. @Jason https://t.co/8V5PqsLna9"
"15","@ProjectLincoln Creep https://t.co/RvOwKkfl4b"
"16","@Jason @RonDeSantis @elonmusk @RonDeSantis =,💩🤡"
"17","😂😂 @PhilMickelson = 💩🤡 https://t.co/yOZSj4oXn8"
"18","@HBO 😂😂😂😂😂😂😂😂 https://t.co/WVaMmkVukr"
"19","#RepublicanDefaultCrisis  @GOP @SpeakerMcCarthy https://t.co/MjRRT5bTRR"
"20","@brianschatz You called it, months ago Brian… They should’ve dealt with this during the lame duck session. ugh"
"21","@BeatTheCult Yup. And that’s how I know most Christians are full of 💩."
"22","@kimguilfoyle 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂….breathe…..😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂"
"23","@MosShackOShart @JeremySzafron @mkraju Correct. There’s no middle ground between an arsonist and a firefighter."
"24","@dbongino = 💩🤡 https://t.co/ZjpGzfOC6Q"
"25","@followtheh Reminds me of infrastructure week when the fat one was president… https://t.co/rZZl6xUNbe"
"26","@Jason And it’s a solid idea. I rep’d writers in Hollywood for a bunch of years and really came to understand that… https://t.co/YQCHVuBvTJ"
"27","@jimcramer Oh he is def gonna invoke the 14rh."
"28","@schleef @Life21Good @NellUncle @jimcramer The GOP raised the debt limit 3 times when Trump was in office with no s… https://t.co/4kgu4nbzRV"
"29","@TeaPainUSA https://t.co/cFJ4RkxjkD"
"30","Nice job fawning over this a-hole a few weeks ago @billmaher https://t.co/4iWg4sFaTI"
"31","@LilaGraceRose https://t.co/GRlJUcsz8S"
"32","@PhilMickelson @eamonlynch @golfweek That piece is 100% dead on Phil. And none of those antitrust suits are going a… https://t.co/g1xblx958c"
"33","@DIRECTV DIRECTV sucks. They play stupid games with their fees. I’m done."
"34","@NancyMace = 💩🤡 https://t.co/0LRgtNkijV"
"35","@tcmilbert @NancyMace 😘"
"36","@theREALCaleb432 @NancyMace 😂😂😂"
"37","@NancyMace Complete and utter b.s. @NancyMace =💩🤡"
"38","@CNN https://t.co/OTIM1gJcFh"
"39","@NancyMace = 💩🤡 https://t.co/cdPodA0own"
"40","@themaxburns @nytimes @GOP @anniekarni got rolled…."
"41","@kairyssdal F*ck yeah… #DarkBrandon"
"42","@CNN https://t.co/zqTYHIfjPj"
"43","@froomkin @anniekarni"
"44","@anniekarni What joke. @NancyMace is full of sh*t. She loves to cosplay as moderate but she’s a wacko like all the… https://t.co/AD3zMLGqGY"
"45","@Scaramucci 😂😂"
"46","@conantnyc https://t.co/g1nqWV6amw"
"47","@conantnyc https://t.co/L6asM8r0d8"
"48","@shannonrwatts Please follow me. Thank you!"
"49","@ScottBaio https://t.co/AmBQZIzVH3"
"50","@ScottBaio Can you leave today and get an early start? Also be sure to get your job application in asap for… https://t.co/Km4dHjR4EB"
"51","@nancymace lied when she said their debt bill doesn’t cut Veteran’s benefits. Her republican colleague admits it he… https://t.co/Q5F96YxQkw"
"52","@girlsreallyrule 😂😂😂😂😂😂😂 noooooooooo…."
"53","@_gregoryjohn @madewithframes @bubble @figma @jameore @elibeachy @AdamTossell Any flexibility on pricing? $20 a mon… https://t.co/7JWFmN0uAL"
"54","@NancyMace @NancyMace = 💩🤡"
"55","@mehdirhasan They were Seditious tourists….."
"56","@CNN https://t.co/A2qAr6wQwj"
"57","@SenMikeLee @NancyMace https://t.co/EjJFIxNDW2"
"58","@tedcruz https://t.co/XGDBuxY7Iv"
"59","@Jason  Your boy Musk has gone completely off the rails. https://t.co/Cb4WAUiH1d"
"60","@SenRonJohnson is a serial liar https://t.co/DvimmvVA8c"
"61","@TheBitcoinConf @RobertKennedyJr 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂……breathe……😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂… https://t.co/6PflaeMHIq"
"62","@JohnFugelsang 😂😂😂😂 @kimmagagal2 = 💩 🤡"
"63","@krystalball Delete your tweet https://t.co/mc4zcB0sm8"
"64","@RepNancyMace Nancy lies on a daily basis…."
"65","@CNN Nice job @McDonalds nice job…."
"66","@TheStreet YUP"
"67","@NancyMace https://t.co/OmG4yqhEgi"
"68","@NancyMace is a fraud. https://t.co/KM7p9f4lhh"
"69","@RepNancyMace More BS from you. This article refutes your claim entirely. You are a liar Nancy Mace and now all of… https://t.co/4jkjO8Y1eE"
"70","@profgalloway Do the dogs miss the beach and warm weather?"
"71","@RepNancyMace Liar! It may not end up in the final bill BUT YOU VOTED YES ON A BILL WHICH CUTS BENEFITS TO VETERANS!!"
"72","@NancyMace voted in favor of this legislation. And Nancy is ok with sending American jobs overseas. Call her DC off… https://t.co/F2THqdsEo1"
"73","https://t.co/vcGihqV8Ib"
"74","BREAKING: @NancyMace is full of shit. And the VA agrees. https://t.co/MMbwnYMDTX"
"75","@gtconway3d 💩"
"76","@nickfloats OMG this is sooooo awesome. 😂😂"
"77","@ritholtz Sliced red and yellow tomatoes with burrata."
"78","@RepNancyMace INCLUDING VETERANS!!!"
"79","@RepNancyMace Such b.s. You voted for enormous cuts that will obliterate the safety net for low-income Americans."
"80","@_gregoryjohn @bubble Will this be avail on Buildcamp?"
