"","text"
"1","@MrsPitbull @krassenstein No"
"2","@krassenstein How he is able to find lawyers to represent him is amazing. He is impossible to defend, and I am sure… https://t.co/v54qnt9dnG"
"3","@RepMTG How about you all quit playing games. There are many of us tired of the tit for tat politics."
"4","Yes, indeed! https://t.co/1gR8Q7gDUR"
"5","Columbine happened my freshman year of high school. I will be 39 this year, and we are still seeing students killed… https://t.co/27XWHzMt1R"
"6","@RepMTG So people believe crazy things they read on the internet and social media like the 2020 election was stolen… https://t.co/loUf9Wh0rj"
"7","@tedcruz Republicans would do the same for Trump. We have a divided and very politically partisan country, and a tr… https://t.co/GTilY58r8e"
"8","@EdKrassen Whether or not there is a legal matter for when that procedure isn’t followed is not for me to decide. Y… https://t.co/nYWGmw6bJs"
"9","@EdKrassen My Republican friends I said the president can declassify documents. I know he has that power. However,… https://t.co/8vC3KP9OO1"
"10","@1FJB11 @EdKrassen Biden is also in the wrong for having classified documents. I’m not defending him. No need to wait!"
"11","@RadicalOldWoman Love those books!"
"12","@crystalsbylona @EdKrassen I have no excuse or defense for them also having classified documents. They just seem to… https://t.co/iVT3MFf8bo"
"13","@BurrusTonya @EdKrassen Something as simple as that probably has a very low classification, and could quickly be de… https://t.co/BHrXHyappy"
"14","@kevinryanmedia @EdKrassen It needs a process for our protection!"
"15","@kevinryanmedia @EdKrassen Sure, the president says he wants to declassify something and it then moves throughout t… https://t.co/07uHRGiPsF"
"16","@BurrusTonya @EdKrassen An example of the process is to have our sources and methods removed so our adversaries do… https://t.co/lIndLaS7RU"
"17","@EdKrassen Perfect example as to why the declassification process is necessary so our sources and methods are remov… https://t.co/t7CbvkPdTf"
"18","@EdKrassen Let’s also educate the Republicans before they start using “the president can declassify documents” defe… https://t.co/LIDzfob8wn"
"19","America needs a reset button. It’s hard to find common ground when everyone lives in separate realities. What’s the solution?"
"20","@RobertCheney65 @Intoxable @nakitko @Katb4animals @EdKrassen @laurenboebert Why would non-MAGA people try to stop t… https://t.co/LWpNgyOgeW"
"21","@EdKrassen @laurenboebert Exactly! So Trump lied and January 6th should have never happened right? She’s stepping on her on talking points!"
"22","@pattyjbechtel @RepMTG Hi Patty! Why do you interpret my statement as to do nothing?"
"23","@RepMTG Walls are temporary fixes. People will find ways to get past a wall. Learn to understand the root causes of… https://t.co/UMJInJFXiP"
"24","@JoJoFromJerz Mrs. Doubtfire"
"25","@electMikeHarvey @RepMTG Yes! I say this all the time about Congress. It’s embarrassing! If I acted like this at work, I would be fired."
"26","@MrJBMilitant Thank you! Same to you!"
"27","I love Katie Porter and her whiteboards. https://t.co/swjXeZl6mR"
"28","@nathaliejacoby1 Whitney Houston"
"29","Florida 🤦🏼‍♂️ https://t.co/SmoKdOjhg8"
"30","@barryshafer Fruity Pebbles"
"31","@nathaliejacoby1 Obviously many things are more important than football, but sports in general help bring people fr… https://t.co/CupBidd2py"
"32","@nathaliejacoby1 https://t.co/cZ7I9KBzKN"
"33","@ninaturner Talented guy. So sad!"
"34","Absolutely! https://t.co/Jd1Zbn8UFa"
"35","@bunnieshottips I would love to have a room like that!"
"36","@EnriqueAVaca1 Yes"
"37","@stephaniejbruce @nathaliejacoby1 Nooo I love Alf!"
"38","@nathaliejacoby1 The Office 🤷🏼‍♂️"
"39","@nathaliejacoby1 Yes, my Maw Maw ( my grandma)."
"40","@SpeakerMcCarthy @RepBradWenstrup @RepMalliotakis @RepMMM @RepDLesko @RepCloudTX @DarrellIssa @Jim_Jordan… https://t.co/Dhq6afp4d5"
"41","@nathaliejacoby1 10 of course!"
