"","text"
"1","@NetgainOne yeah, good point - the story is more important right now but that’s because the story translates to fut… https://t.co/gbg5EMBMst"
"2","when you’re so myopically focused on defending a take that you fail to grasp markets as a discounting mechanism.… https://t.co/gIe5NHfXVg"
"3","@BlacklionCTA what’s your probability of default?"
"4","what a loser https://t.co/n4afBSTe0N"
"5","@iv_technicals l lc / s sc"
"6","https://t.co/NC1mJsDLzF https://t.co/TL5fSJzuN9"
"7","bruh https://t.co/GBWy4BaM6T"
"8","now making up fake tweets"
"9","“it [january 6th] was a beautiful day”"
"10","trump on cnn immediately casts doubt on the election and call the us a third world country… here we go again"
"11","@mwilcox how large is the network now?"
"12","THE MID-SINGULARITY, OR, THE BEAUTY OF THE TRANSLATION https://t.co/xajPZHhwEX"
"13","The Ideology of Putin's Russia https://t.co/wOhiVJcsuA via @YouTube"
"14","here’s how the tiktok format creates organic propaganda that can and will be  leveraged by pro-CCP (i don’t care if… https://t.co/gUjbcSEhWb"
"15","you can earn up $25-45/hour right now to help yourself earn $0/hour in the future :) https://t.co/vWZ6A8G8qo"
"16","what’s the mpc https://t.co/QH3iW7kXPT"
"17","https://t.co/OsI1QXd6wq"
"18","this is a bot spreading chinese disinfo in english https://t.co/7kIvpUPrkc"
"19","this is a bot https://t.co/WdE5IHoEOz"
"20","this is also a bot https://t.co/EWVVxJXRpZ"
"21","like this is a bot 10000% just look through https://t.co/ULCp6Ukr7c"
"22","like https://t.co/cvO5UkIUII"
"23","almost to breakaway but still on this thread

“If abused, ChatGPT is capable of writing misleading content that mim… https://t.co/Ay9rjPPdC4"
"24","3 years ago, a deleted user generated “nightcore” music using what appears to be an early an earlier generative AI… https://t.co/CCnJGCTgHi"
"25","https://t.co/znFCEemMgp"
"26","https://t.co/p5PUyUMFaj

Think about how these two things tie for a second https://t.co/H0LPwt0llv"
"27","wat https://t.co/l7tljUdQAt"
"28","@iv_technicals oh wow.. had no idea - hopefully can get there this summer"
"29","@iv_technicals where is"
"30","@JackMurphyRGR logic train - putin orders ns2 demolition concurrent with “suicides” of prominent gazprom execs to e… https://t.co/1y6qjuHpry"
"31","@bigbrainCFA marathon eats"
"32","they call me the 1.000-ton uzbek bridge erection machine placed in the desired place https://t.co/Yx67fQP0Ih"
"33","calling apple fascist is a very strange thing to do"
"34","like holy shit you are insane https://t.co/tq01CcrAiv"
"35","how can people be this stupid https://t.co/jtidbLUYG8"
"36","i am day traders… buy downside gamma daily, end up losing 5% of pa in 1.5mo, get whoosh down and recover all of it… https://t.co/AhKBk8hjSM"
"37","@LevFinCynic never wrong, just early… but they’ve been pretty fucking early"
"38","holy s-curve https://t.co/BPlhY2ATiK"
"39","🤯🤯🤯🤯🤯🤯 https://t.co/EtzhJdJhFz"
"40","you guys can tell when you stumble on a government influence twitter account … right? and then you see the ones tha… https://t.co/zIWDD8QuUC"
"41","this is the most midwit shit i’ve seen on here in a long time. you can’t just “calculate vix” with some random fitt… https://t.co/dTbrBh0hEd"
"42","@risk_punter @frankoz95967943 because that wouldn’t fit his narrative"
"43","@Ksidiii need this https://t.co/sDEElTMBIk"
"44","tell me this has nothing to do with the market chopping to nowhere in the past year https://t.co/bDueFw6OU0"
"45","@salr_nyc my thoughts exacrly but tucker is way too soulless"
"46","@VolatilityWiz marko ez. he flipped short right around the bottom in oct"
"47","@mnskymoment here comes your namesake"
"48","@Trade_The_Swing explains some of VIX upside going through yest + the follow today"
"49","market continue uply if realizeds go bigly down"
"50","@SilingWu an a country that *needs* to coalesce around a common cause otherwise it will disintegrate … nothing pers… https://t.co/GdYIyq1NyN"
"51","@SilingWu touché sir"
"52","@SilingWu a country that could coalesce around a common cause (China)"
"53","@SilingWu hahahaha"
"54","@SilingWu For you, the United States is:"
"55","THE ENEMY https://t.co/n0ymvh4o4f"
"56","@SilingWu the enemy"
"57","@INArteCarloDoss eh, we still have a couple of years before going to war with china before fully ending dollar hegemony"
"58","@Tekesteex @JamesCopnall yeah that’s shitty - i was not lol… but am i crazy or was that guy getting shot @"
"59","@herbert_bushman love the pod. some unsolicited advice - you should put links to your social media in the podcast d… https://t.co/fHOJaA85K4"
"60","@JamesCopnall this guy getting shot at and still filming lol https://t.co/Udo8kemcyX"
"61","oh so this explains the “weather balloon” rhetoric from China. a stab at historical surveillance program of USSR https://t.co/3yZ0LrJQvd"
"62","labor market still too tight https://t.co/8jO1kLlElJ"
"63","lol - u gon learn today boy https://t.co/2sJoAAWBQL"
"64","@Bitfinexed is that a material % of his total holdings? maybe bleeding into mkt to buy a house or some shit"
"65","@deerpointmacro i would disagree on this being causal, just correlated since rates tend to go up during times of economic expansion"
