"","text"
"66","@TaviCosta diesel ban in europe / crude ban, need to export sour to europe"
"67","@bigbrainCFA i just got slapped w/ like $7k in maintenance … carvana sale here i come"
"68","@BlacklionCTA any idea how liquid this market is? i keep an eye on these myself but don’t know much about the market"
"69","@bigbrainCFA @Fullcarry but the hysteria is over. i’m dick deep kre calls"
"70","what’s the trade https://t.co/fDVVrEjZa5"
"71","@Fullcarry time deposits &gt; demand deposits for making loans … goes without saying. feel like this deposit hysteria is ridiculously overblown"
"72","i’ve been saying this for almost a year - it’s going to be central clearing houses. if CS blew up, going to get som… https://t.co/hAUEDOYpbB"
"73","@bigbrainCFA addy from home-ng"
"74","qqq/small cap spread might seem extreme, but avg fwd return (1mo) is still roughly in favor of qqq at this spread level!!"
"75","@rossiadam @hkuppy seems like a decent boutique bookseller business"
"76","doublespeak proficient CCCPspeak https://t.co/UPscItzGPW"
"77","@bigbrainCFA …. all of it?"
"78","what could go wrong? not a sarcastic/rhetorical - what do u guys really think? https://t.co/UyKQu8Nbik"
"79","wtf i just watch https://t.co/jCnSio3xT4"
"80","@KanekoaTheGreat ur moms chest hair"
"81","this is very unsettling https://t.co/ymZuAaGRwF"
"82","what’s the trade? https://t.co/4QMPnOI66U"
"83","@bigbrainCFA @anonfpa preparing for alien invasion bro"
"84","@VolatilityWiz (re: earlier tweet on vol control donkeys)"
"85","@VolatilityWiz so retail at the end of the day"
"86","@VolatilityWiz these are mostly insurance products - think fixed index annuities + the gamut of other index annuity… https://t.co/aOk23I35tb"
"87","@maxocito13 sorry again, kocain"
"88","@maxocito13 sorry, kocaine"
"89","@maxocito13 just some kokain"
"90","friday night nahamsayjn(???) https://t.co/jPIcrub9D9"
"91","(morgenthaus take on critics of the american intervention in WW1, not the actual reasons he argues)"
"92","perhaps. perhaps now these interests remain entrenched, but in different forms. perhaps https://t.co/SdPhMIPIDW"
"93","more on above https://t.co/sce261JFcL"
"94","(speaking on wilson’s purposefully driven decision to engage in WW1)"
"95","what’s not said - through american hegemony is this made possible. morgenthau 1960 https://t.co/MBkLMIVjjw"
"96","glad we added beta to apac, nothing too hawkish at all here"
"97","mccarthy just accidentally clapped for the bipartisan antitrust regulation"
"98","lmao biden with the entitlements 5D chess"
"99","@egh009 @l1quid1ty @OffTheRunTrades be a mm and hedge w swaps"
"100","@OffTheRunTrades @MacroTactical he literally said “this time is different” re: labor market"
"101","@BlacklionCTA rubenstein is great, has a ton of other quality interviews with people of that calibre. helps having… https://t.co/UToRyiTNqA"
"102","so after SOTU https://t.co/PtDPDpx4uL"
"103","so incredibly tragic. https://t.co/7Vi5WYeAYj"
"104","“dirty bomb” “chemical weapons” setting the stage for nonconventional escalation. https://t.co/GomEntf8FO"
"105","log scale pls https://t.co/QDYW0pIktO"
"106","4chan &gt;170 https://t.co/cnmMAkm2JQ"
"107","POV - you’re from the balkans https://t.co/tr6HWhtr3C"
"108","@LevFinCynic i sent that chart in chat lol"
"109","@LevFinCynic holy fuck that was you in the distressed credit chat"
"110","“statistics” (r^2=0.02, t-stat = 0.5) https://t.co/JqfpRipxWM"
"111","source: twitter https://t.co/TnVpqysSV6"
"112","@countrpartyrisk @VolatilityWiz when you learn billions of man hours have gone into computing a dynamic moving aver… https://t.co/Y7mAdbE6R5"
"113","@ONAN_OUS pain trade is mega cap tech continues to rally"
"114","@17catspaw need some convexity, would probably buy outright and bench the alloc w some high conviction tilts if tha… https://t.co/N8uQQrmygb"
"115","also payrolls friday could see some damage done, but based on what i’m seeing in some higher frequency shit, that’s probably unlikely"
"116","(now that i’ve tweeted this, we are going to retest 22 lows by valentine’s day)"
"117","but the pain in excess space is simply too much - need to add risk, and i know other real money mgrs feel the same… https://t.co/j0fN1KmEKR"
"118","honestly, this market probably going to rip until we get a soft labor print which won’t be for a while. powell was… https://t.co/qa5DjHRAvB"
"119","day 45 being asked if we should still be short growth / beta across all of our alllcs https://t.co/yPyKJfdnw3"
"120","&gt;tfw this is a political game https://t.co/8zz3np0Gpm"
"121","@iv_technicals Libya"
"122","anyone have a system for keeping up with all news sites? https://t.co/6iwvxwJtz0"
"123","does this guy do anything forward looking? https://t.co/RL1BepquU6"
"124","@bigbrainCFA management certainly putting pressure on, loving soft landing idea. so dumb"
"125","@OffTheRunTrades ur not wrong bucko https://t.co/TlJLe9pRBR"
"126","@rip_xfl will report back"
"127","i’m blown away by how powerful this is https://t.co/PrOWIw2aS4"
"128","https://t.co/PENghP2heu https://t.co/mf1JjG5blZ"
"129","this is the face you make when you go on late night to promo your book but end up soiling your legacy instead https://t.co/fsD61RzdJN"
"130","ya my choppa hold a 💯my car go 💯💯baby *alt esf down key down key f2*"
"131","@rip_xfl 69-70…. in this economy!"
"132","#NewProfilePic https://t.co/IdtC8HJpT7"
"133","lol https://t.co/jJTOWQLH8Y"
"134","we are not a serious country https://t.co/4alRhQnfmg"
"135","it’s an absolute shame that not one single person covers this travesty of a war through anything other than overtly… https://t.co/Bbg3gRxvW8"
"136","@MagnusMacro a fellow heel… interesting. class of__?"
"137","the west is not a serious place https://t.co/Oc21UlGfj3"
"138","recall we still are in syria https://t.co/IBwvgqIyCX"
"139","@stackgallo dadcuckery?"
"140","i am once again stuck behind degen scratch off gamblers inside a circle k"
"141","this is fucking insane lol https://t.co/YACXBjkI9u"
"142","amen, brother. shaved a few months off my physical existence https://t.co/GCPEQ1RjtC"
"143","the franco-german border is a thick alpine forest with few roads…. https://t.co/tGt6WstfUV"
"144","i’m sure you’re an okay guy, but go fuck yourself kuroda"
"145","@CarolinaYeti @Squilly69420 or annex basement in your cases"
"146","@CarolinaYeti @Squilly69420 maybe basement time"
"147","pls advize thx"
"148","this analyst keeps making the same mistakes over and over and over. i don’t think sugar coating it helpful on a gof… https://t.co/atVc9rts5x"
"149","@bigbrainCFA @privatebankass what if is a tumi"
"150","#NewProfilePic https://t.co/Lu6KyG8R0j"
"151","inject in my veins https://t.co/XKb7ASvRud"
"152","@jasonfurman how about my term, “wage-price reflexivity”"
"153","if you really think about it, social media is merely AI. An brute force form, but nonetheless, AI. A good chunk of… https://t.co/L5D27YzKdG"
"154","@RoyIsThaTruth that look like my pediatrician dog walker"
"155","there’s a reason for this https://t.co/Jqo5FizjZX"
"156","what say you @RWApodcast https://t.co/kzVAVVYbj2"
"157","fantastic, pls pass https://t.co/Fv61NseVpL"
"158","@Simple_Matt0_o @financialjuice doesn’t matter if they’re stuck"
"159","can’t reopen now, biatch - biden, menendez, and mcconnell (probably) https://t.co/hbiRRTSxRT"
"160","afters at cole mayes was lit ln"
"161","https://t.co/txVhMfYTH0"
"162","struggles to interpret graphs and visual content? i don’t think this is uncommon https://t.co/kPlalUuWH0"
"163","next week https://t.co/Z0Ja05ZaDb"
"164","spotify wrapped but make it your entire personality"
"165","adventurer trying to mee adventurers https://t.co/XaretaKwx1"
"166","totally normal guy things https://t.co/Hbet52ypXf"
"167","@pearkes one card monTY"
"168","long the SPX 3950/4200 straddle going into NFP. Implieds are cheap"
"169","@bigbrainCFA in atlanta? just fuckin dip and go to new york."
"170","that’s a shit question. @SBF_FTX is answering the question as one that asks if FTX depositors engaged in a transact… https://t.co/OKLYxRgf5H"
"171","i was wrong https://t.co/BLvA2k3feZ"
"172","gf yelled at me for using her stuff so i had to stunt https://t.co/qO2fFgd1wF"
"173","if you work more than 10 hours a day WITHOUT adderall, you’re a psychopath"
"174","@l1quid1ty pride insensitive rebalancing? VKOs? no clue"
"175","@l1quid1ty intriguing…. thanks"
"176","@l1quid1ty what do you mean by W?"
"177","question: what happens when all of the upside bot on FXI gets taken off? there has been very minimal real money buy… https://t.co/G9fPT5ey9G"
"178","all the chatter of reopening is posturing by the CCP https://t.co/tl8SxyzyqH"
