"","text"
"1","@jemarbather I’m so glad they kept telling you, and you listened. Congratulations."
"2","@RCdeWinter Bass-boom!!!"
"3","@nching0 Wow - lovely!"
"4","@AndrewYang Duh"
"5","@catherineecull1 Gorgeous"
"6","You wear it well! https://t.co/od3MmpxfJf"
"7","@marlene4719 Well said."
"8","@bingley567 Wouldn’t want to run into this guy!"
"9","This is for-profit government; I would like to add that, since my 70 year old husband went back to work, both our p… https://t.co/y4QyAaxCGy"
"10","@greg26011979 Aw, he does looks so sweet: I'm sorry ."
"11","@forced2laugh It was so satisfying watching you soar. I'm so happy for you."
"12","@BorisSlocum 5 cents"
"13","@marlene4719 No, the way it’s supposed to work is: he should be in jail."
"14","@CancerCanuck It’s what it’s meant for. Take care of yourself"
"15","@KimFlorey2 Hope you’re feeling a whole lot better today!"
"16","@Natgooner I quit in my 60s; we were responsible with our jobs and home life, but I am so full of regret that we su… https://t.co/IJy2eYnuXS"
"17","@FrankaMedic Especially if you keep making the effort!"
"18","@itslivmattock Shake it off. You’re sober, which means you’re free to be the best you; forgive yourself, be kind, a… https://t.co/DQ0e62c61R"
"19","@bluertwo Peace Train 
The Boxer
Into the Mystic 
Whiter Shade of Pale
Jolene - Miley Cyrus
Stay - Rihanna 
Somebod… https://t.co/8aNXjfCFjY"
"20","@StuddertNatalie I know how much you suffer; I am a mom, too. I will hold you in my heart ❤️"
"21","@dam_Cornwall The cleaner look!"
"22","@mtosc98 You are doing this so right, and I love seeing your progress. Carry on …"
"23","@LaurenCoker99 Looks like you already are blessed, beautiful, and bound for success. Congratulations!"
"24","@marlene4719 What I want to know."
"25","@dan6654 Top five best songs list for me; Procol Harum!"
"26","@DemoLady7 @BaddCompani Yes, yep, and yeah!!"
"27","@GerryR_AA What’s the cricket? Don’t go, if you don’t HAVE to."
"28","@kgirlartist66 Sydney Poitier."
"29","@MrDouchePickle Good work!"
"30","@margibby Then we're happy, too!"
"31","@RCdeWinter Pick me, pick me!"
"32","@DemoLady7 @rerun4612 I meant 2015. I really need to proof read my tweets."
"33","@wendyk101 Hahahahaha. I just spent an hour deciphering my list for today; turns out, fam (and what is it that they… https://t.co/rhK9ELyunY"
"34","@DemoLady7 @rerun4612 I hope you're soooo right. I've often thought that, in a slow-moving karmic way, trump is goi… https://t.co/jIcDAjULbu"
"35","@Lgreads24 @realTuckFrumper They either can’t see the vitriol is wearing thin, or they just don’t know how to be de… https://t.co/NKsLRtEUy6"
"36","@itslivmattock 👍❤️☺️"
"37","@ThatEricAlper The wooden doll my mom restored for me, while in the hospital with TB, in the 1950s. She painted a p… https://t.co/lVGXPwzcrI"
"38","@RCdeWinter @POTUS Reckless, divisive, hateful, vengeful; it’s how they spend their days."
"39","@bonkrzz1018 I like her - your dogs are so good!"
"40","@staybayy Almost unrecognizable; who you are had had a makeover, too. Have a wonderful life!"
"41","@godem99 Get off your knees; retaliation, disrespect, discord, and hatred will never be good for this country."
"42","@RCdeWinter That one was a loud belly laugh’"
"43","@DemoLady7 I’d put him in the back of my mind, but I remember. So many people have enjoyed living above the law; no… https://t.co/EiEDExHRw4"
"44","@JZPhilosophy Ahhh, the Hallmark feeling - it's lovely."
"45","@marlene4719 I really would know I sounded that crazy and desperate, if I were that crazy and desperate."
"46","@realTuckFrumper He is the epitome of everything we try to teach our children not to be. That he ever lived in our… https://t.co/SmiZMwmQGQ"
"47","@realTuckFrumper His values, though …"
"48","OMG, this is spot on! How is it possible that there’s still one person who hasn’t realized he’s devoid of knowledge… https://t.co/B0FhOhLs94"
"49","@kimhornsby It's beautiful, and whichever one of the islands it's on is beautiful, too. I love Seattle and all the outskirts. So lovely."
"50","@RCdeWinter I have never asked for a follow before, but your art, humor, and poetry are so refreshing ... follow me, please."
"51","@thesoberheathen Go on, now. It’s probably the reason you had the strength to get sober, so take it in slowly and gently, my friend. ❤️❤️❤️"
"52","@ThatEricAlper Once again with the Manhattan Transfer answer; it can’t be helped ❤️"
"53","@ShawnTheScholar That’s so cute. I feel your mom right now!"
"54","@AnnCoulter Do you not think he could have been a hero without taking a life?"
"55","@bonkrzz1018 My 69 year old husband went  back to work because things were tight - just enough to get by. Our SS, w… https://t.co/b6D77wMw2H"
"56","@realTuckFrumper OMG, could the love child of P. T. Barnum and Leona Helmsley be running out of grifting ideas?"
"57","@michellehex1212 I think the stray cat who stole our hearts has brought us closer and made the two of us feel like… https://t.co/M04C0ZN8Dy"
"58","@realTuckFrumper Isn’t there anything more important she could spend her time and energy on?"
"59","@RCdeWinter @PringleCat2 I also work at sharing grammar; I wonder if you went to Catholic school in the ‘50s …"
"60","@realTuckFrumper Don’t open that door, Marge"
"61","@ThatEricAlper Mr. Potato Head"
"62","@RCdeWinter I really like your work; I’m finding myself scrolling specifically looking for you❤️"
"63","@PortiaMcGonagal They are so pretty"
"64","@RCdeWinter I love the colors, the way it’s framed … beautiful!"
"65","@RyanKennedy_22 Brave."
"66","@forced2laugh You're all so pretty! Happy Mother's Day."
"67","@RonFilipkowski Please incarcerated this lunatic; jail, insane asylum - doesn't matter, just remove him from our ai… https://t.co/suK91fXbzb"
"68","@vtdiva49 I think you're getting a lot of admiration today; oh, and Happy Birthday!"
"69","@LewisWigout OMG, he's the only one, ever!"
"70","@myster_rivas Never give it back."
"71","Happy Mother's Day to Margaret Sanger, who cared more for mothers and their rights than some of us know. Mothers ma… https://t.co/2T0i9lBaFF"
"72","@ClayTravis DJT."
"73","@mtosc98 You are looking so healthy and happy!"
"74","@KSPrior Aw, I was just falling into a funk, and along came your story of human kindness. I hope you recover fully and quickly."
"75","Hunter is a private citizen. As a member of the House, you ought to be using your time more wisely; earn your large… https://t.co/DSC9nvHzce"
"76","@mschlapp Schlappy, you just don’t get it. You can’t wish things to be true, and, we are smarter than you think"
"77","@kayewhitehead @RhodesCollege Wonderful"
"78","@krassenstein The dumb and disingenuous. If I marched for something, I would show my face."
"79","@krassenstein @MikeHolleyESPN Sic"
"80","@FoxworthDanny 👏Here’s to you!"
"81","@IstayMad63 @PortiaMcGonagal @AmandaMarcotte Most white men will be subjugated, too. The greedy, grifting, pussy-gr… https://t.co/GtLBQSvIcT"
"82","@ThatEricAlper Phenomenon"
"83","Well said, Friend. https://t.co/WjMoLoR3VP"
