"","text"
"1","#NewProfilePic https://t.co/V4yvvvGp3j"
"2","@BTS_twt Happy Birthday Sweet Jin!!!!!!! May these be the happiest of days for you.... btw... Abyss sounds awesome😍… https://t.co/3gHZh2cxQ8"
"3","https://t.co/U3LzKu7q4F"
"4","@TMobile what going on with the network????"
"5","@BTS_twt 😌😌😌😌😌🎶🎶🎶😍"
"6","@DavidBegnaud but he doesn't think about the people who filed it before the guidelines where made? people in PR are… https://t.co/CERqyaahfD"
"7","@pulte done🙏🏽"
"8","algo asi en 🇵🇷 &amp; 🇺🇸 por favaaaarrrr https://t.co/sagSm7oUZf"
"9","@JeffreeStar You keep doing you... You are a beautiful soul, and thanks for doing this!💖"
"10","@pulte $idelgado4"
"11","@pulte browsing twitter &amp; i got it.... https://t.co/CIQlGuBrfH"
"12","@pulte everyone has their one struggle, but i think @pulte is going to make the wisest decision"
"13","@sanbenito a true masterpiece🤯🤯🤯🤯👏🏽"
"14","@pulte $idelgado4"
"15","@pulte @JeffreeStar You guys are doing an amazing job that should be repeated by people who have the ability to do… https://t.co/eNFp9dznA9"
"16","@2TB_Adrian @pulte $idelgado4"
"17","@pulte $idelgado4 been struggling financially since this evolved
praying one day we are able to control it"
"18","@WilMochileando yo tambien lo hago!!!!!! 🤣🤣🤣🤣🤣"
"19","T-Mobile’s 5G network is fast, the Samsung S20 5G is fast, ziplining is fast. Are you fast? Play this interactive v… https://t.co/QrNVlFq2jS"
"20","To my high school self... 
Stop worrying about ur appearance and enjoy every single day. You are doing fine and bei… https://t.co/YJKIRVNtsw"
"21","@crystalchavezz @Ticketmaster hang in there!!!!!!"
"22","almost an hour and still in the same place... #BTSTOUR2020 #BTSxDallas #BTSxTexas #BTSTOUR
@Ticketmaster do somethi… https://t.co/au12oUFEwl"
"23","@BSonyeondan_7 fighting!!!!!"
"24","@cherry_bomb051 i have to wait for 204 people... we are going to make it... #BTSxTexas"
"25","i'm still stuck in the same place for about 30 min... please heeeelpplp #BTSTOUR2020 @Ticketmaster #BTSTOUR https://t.co/gkEnuG0dq5"
"26","https://t.co/CPlIqx2Zpe"
"27","@TMobile #TueYearsEve + #contest because it's always fun with @TMobile"
"28","@WilMochileando tuve un abuelo llamado Teofilo y mi bisabuela se llamaba Segunda"
"29","@DrakeBell 🇵🇷🇵🇷🇵🇷🇵🇷🇵🇷🇵🇷"
"30","@WilMochileando https://t.co/E7k1SPLDx5"
"31","#NewProfilePic"
"32","all that prettiness in one tweet

#ChickenNoodleSoup 
#CNS
#JHOPExBeckyG https://t.co/m47KqhvQAw"
"33","every kpoper right now...

I gotta eat Chicken Noodle Soup🍜🐓🤣🤣🤣🤣

#CNS
#ChickenNoodleSoup
#JHOPExBecky"
"34","I was born in: 🇵🇷🥰💜
First country I visited: 🇺🇸
Last country I visited: 🇲🇽
I’d love to visit: 🇰🇷🇯🇵🇨🇦🇬🇧
I love: 🇰🇷
I… https://t.co/1bRwi1Imi7"
"35","long time no see twitterverse😅😅😅 https://t.co/nkw0HitIQF"
"36","The Samsung Galaxy Note10 is fast, really fast. Test YOUR speed by finding the hidden objects in this video for a c… https://t.co/Ja1n7KYXcY"
"37","https://t.co/DTy4nz7stp"
"38","https://t.co/WsJEdmXmSM"
"39","https://t.co/CGnsfdOZxN"
"40","Mi isla hermosa, hoy hicimos historia, mas orgullosa no me puedo sentir de ser puertorriqueña de pura cepa❤️❤️❤️🇵🇷🇵🇷🇵🇷🇵🇷"
"41","#RickyRenuncia #RickyRenuciaYa Austin, TX https://t.co/dcM9KFbNWD"
"42","@LiveNation Bring BTS to Puerto Rico
#ARMYPUERTORICO #BTSPUERTORICO #PRWANTSBTS"
"43","ya el perrito fue encontrado.... gracias a todas las personas que vieron el post y lo compartieron https://t.co/BWM6knDam1"
"44","Este perrito es muy importante para mi familia, se perdio en el area de Valenciano Abajo Sector Pomales, cualquier… https://t.co/JIeAS2DkZk"
"45","Este perrito es muy importante para mi familia, se perdio en el area de Valenciano Abajo Sector Pomales, cualquier… https://t.co/P4SWCWalQz"
"46","#Avengers ❤️"
"47","#MeMuerdoElLabioChallenge @Moluskein @pamelanoa @AliWarrington @YoyoFerran 🤣🤣🤣 https://t.co/YIiqvG7FSM"
"48","I love @BOXYCHARM because... I am getting a lot of full-size products for an affordable deal 😍😍😍
#boxyluv https://t.co/GZJDJapTTc"
"49","https://t.co/fEoRWklNh1"
"50","😍😭😍😍😍😍 https://t.co/SvMy4cL8pY"
"51","https://t.co/OroYUDzTVa"
"52","We are Friendship Wanderlust... amd we are trying to get more followers... so come and check us out as we post pict… https://t.co/RwtHF2XIHw"
"53","He añadido un vídeo a una lista de reproducción de @YouTube (https://t.co/x4XpaEscf9 - COMO TOMAR MEJORES FOTOS CON TU CAMARA"
"54","🍲🍲🍲🍲 https://t.co/7mj1PfN3Kw"
"55","https://t.co/BTRhnHfGEX"
"56","La mejor epoca de La Oreja de Van Gogh😍😍😍😍 https://t.co/zyFhnzpQri"
"57","yo full.... una etapa muy oscura https://t.co/XyWjO0ADmS"
"58","fiesta gringa en el crucero https://t.co/HCdEmvdczy"
"59","waiting long for my flight back home — traveling to San Juan"
"60","I posted a new video to Facebook https://t.co/kOZjkE37Od"
"61","https://t.co/GtXc9VLY9C"
"62","https://t.co/AlE927dFo2"
"63","Our fir https://t.co/LgvJwa6EuR"
"64","fancy mall — at Dolphin Mall https://t.co/NUnF9Ah5kQ"
"65","super hyped.... 2 days for my first trip😍😍😍😍😍😍😍😍😍😍✈️🚢🚢🚢"
"66","December babe💋 https://t.co/3ypv9giOwb"
"67","😂😂😂😂😂😂😂👌 https://t.co/Ty8myL134z"
"68","https://t.co/E43YvKEGQt"
"69","qe cosa mas hermosaaaaaaaa😍😍😍😍😍 https://t.co/Gv1GmapMpL"
"70","https://t.co/rdTWeGPoKk"
"71","Nada va a superar el 19 de mayo de 2018😍😍😍🇵🇷🇵🇷🇵🇷🇵🇷 https://t.co/Zv6KY9hMHB"
