"","text"
"1","@Dave_Eby @KevinFalcon @liberal_party @NDP @CPC_HQ although @PierrePoilievre couldn’t care less about BC so hopeful… https://t.co/YzDnnplL2X"
"2","⁦@KevinFalcon⁩ ⁦@Dave_Eby⁩ the BC @Legislators have to come to Abbotsford. It’s a critical situation and dangerous!… https://t.co/ToySzY3yvZ"
"3","@KevinFalcon Agreed. BC needs to ban safe drug supply. It’s being sold on the streets &amp; more are dying.… https://t.co/wi2H893Au5"
"4","@Jim_Jordan Why not? If it was Trumpy asking it would be AOK! Your so pathetic."
"5","@Jim_Jordan Wrong , @GOP want to hurt Americans, take away healthcare services and raise the prices of meds. Stop l… https://t.co/KhXyl4g84A"
"6","Jack Layton would be disappointed in @NDP selling out Canadians. @liberals are taxing Canadians to death while givi… https://t.co/8Swh2HgqtY"
"7","@theJagmeetSingh @IBEW213 Your a traitor &amp; hypocrite. One minute your passing bills with the liberals &amp; the next yo… https://t.co/qOBseTezTW"
"8","@CTVTheDebate My opinion: Alcohol/Drugs/Cigarettes are all bad &amp; should have warning labels. All the complaining ab… https://t.co/2Nug8a3BRp"
"9","Why are the @DNC not having a younger candidate? Where are the @DNC ? There are some younger generation leaders abl… https://t.co/O7LoDbCadJ"
"10","Make Pensions=Cost Of Living. @JustinTrudeau @CanadianPM @theJagmeetSingh @NDP @PierrePoilievre @CPC_HQ"
"11","If @GOP view Trump as a great President and he’s done “nothing” wrong then why aren’t those “great”@GOP lawyers rep… https://t.co/Fp9I6vxwEn"
"12","@Jim_Jordan Double standards is what Trump is known for. He gets away with all kinds of things that’s regular folks… https://t.co/4PiypWGAKS"
"13","@CTVTheDebate Can I have a $30,000 raise added to my pension so it equals the cost of living? The answer NO! Make p… https://t.co/dZO6SQ5IyX"
"14","@Jim_Jordan Sure as heck wasn’t you. Your a loud mouth bully coward!"
"15","@Dave_Eby make the report for Surrey police NOT blacked out. How dare you force a nonsensical report when it can’t… https://t.co/xtvBVn5G0a"
"16","Why is it that @PierrePoilievre refuses to get a security clearance? Something to hide? If any politician refuses t… https://t.co/YBftBGY9Gf"
"17","@The_Trump_Train NO!!😡"
"18","Wow maybe all those really smart @GOP lawyers who think Trumpy is innocent of liable sexual abuse, maybe you could… https://t.co/pPTnFrkwlK"
"19","@CPC_HQ The only way to end it is to have a no confidence vote. @partiquebecois @CanadianGreens @NDP @CPC_HQ gang u… https://t.co/H3Q0jCDKPX"
"20","@CTVTheDebate All you have to do is go to a reservation &amp; buy them. They are all over BC for purchase although they… https://t.co/HVdp4u0cL5"
"21","@CTVTheDebate It seems Johnson has been bought off by his good friend Justin Trudeau. A conflict of interest it see… https://t.co/wFoWwZwtU4"
"22","@theJagmeetSingh Your a hypocrite. Can anyone really be surprised that Johnson report said this. First he reported… https://t.co/OdM9BxUMhO"
"23","@laurenboebert Your the best of the best in the evil department. Crack pot !"
"24","@ProudElephantUS Yup that should be said for the Trump Family Mafia and criminal empire."
"25","@The_Trump_Train Not a chance. Who would vote for criminals? Oh wait that would be the criminal entity of @GOP"
"26","There is no reason for Canada to have 176 Chinese diplomats &amp; illegal Chinese police stations in Canada. If the pol… https://t.co/2PeAwxULi3"
"27","Yup the NRA is absolutely  deplorable https://t.co/xhvyrrggry"
"28","@NRA @GovMLG The NRA is a criminal enterprise and needs to be disbanded. Indirectly responsible for thousands of no… https://t.co/d6h3UGrUrr"
"29","This is such a joke and an unbelievable statement. 😀🤣😆 https://t.co/LsLNrjkjRV"
"30","Yup and the @NDP is hypocritical in one day they are for @JustinTrudeau and 2 hrs later trash talking… https://t.co/BJxgtE4bU4"
"31","Yes he does so stop lying and spreading fake news. @CNN @DNC @MSNBC https://t.co/zqLKglOa4r"
"32","@PierrePoilievre @CPC_HQ what is your plan? Seniors, care homes, medical, inflation, housing, pensions to equal cos… https://t.co/LdkJKPJCiQ"
"33","he said in his last speech that the US isn’t a racist country! What a load of crud that is. Liar. The US is one of… https://t.co/a9DHgTCf6N"
"34","@GOP didn’t Tim Scott during his last speech say that the US isn’t racist? What a bunch of crud that is. The US was… https://t.co/gmKUpsNG59"
"35","@WestJet The CEO Alexis von Hoensbroech is a man ruining &amp; digging west jet into the ground. Your workers are your… https://t.co/XMgvSKFezG"
"36","@DNC @GOP @POTUS @SpeakerMcCarthy Americans need to do this along with semi automatics. Wake up! Canada already has… https://t.co/eVdDW1VQKr"
"37","Why isn’t @theJagmeetSingh @NDP standing up to @JustinTrudeau @CanadianPM about the carbon taxes 1&amp;2 ?… https://t.co/Nv6OfY8iYL"
"38","@SpeakerMcCarthy @SpeakerRyan @newtgingrich @SpeakerBoehner @SpeakerPelosi 🤢🤢🤢🤢🤢🤮🤮🤮"
"39","@EliseStefanik Liar"
"40","@VernonForGA Well if you do that then Clarence Thomas, Trump, Greene, Jordan, McCarthy, Santos, Thune all need to b… https://t.co/jMNd1Lqhxb"
"41","Trump could be a Russian asset. Really he could be."
"42","@RepCiscomani @SpeakerMcCarthy The only ones who want to defund Law enforcement are @GOP . Start telling the truth… https://t.co/J5mgKlkGAs"
"43","@SpeakerMcCarthy @GOP  are cowards for not expelling Santos. You know it is the right thing to do."
"44","@CalltoActivism Yes she is and so are a lot  of republicans."
"45","@BCUnitedCaucus Well on this issue I agree with doing this. I wish I had this option after being diagnosed with bre… https://t.co/mVY3WYiYbK"
"46","@CTVTheDebate It’s a cash grab. Same as carbon taxes. Tax the tax on the tax. Almost 61 cents for carbon tax added.… https://t.co/KrB5DLygli"
"47","@CTVTheDebate Yes . Just so you know there is more to Canada then Ontario. And Quebec."
"48","@CTVTheDebate Who cares. This is such a pathetic subject"
"49","@theJagmeetSingh @NDP @PierrePoilievre @CPC_HQ why can’t you join together to stop Trudeau second carbon tax? Put a… https://t.co/AiWCqsMYGW"
"50","@SpeakerMcCarthy And what else aren’t you telling Americans? Your holding back on the real truth. Tell the whole truth. @MSNBC @DNC"
