"","text"
"1","@kristyshl @zazzybritches @politiolyc @BernadetteNTF @TammieCroft71 @bettypge69 @impinkestgirl @MykeyCantona7… https://t.co/7qRgLyqjab"
"2","@kristyshl @politiolyc @zazzybritches @BernadetteNTF @TammieCroft71 @bettypge69 @impinkestgirl @MykeyCantona7… https://t.co/aj7Wk6dfgC"
"3","@MairScott3 @kristyshl @politiolyc @BernadetteNTF @zazzybritches @TammieCroft71 @bettypge69 @impinkestgirl… https://t.co/eGmbbCM5Yk"
"4","@rogertansey I like Schiff"
"5","@rogertansey Well they can go visit on visiting day"
"6","@rogertansey Roger  Roger how does your garden grow?? https://t.co/YQ4uczMCsF"
"7","@AdamForColorado She needs to stay home with family"
"8","@justLiam300 Omg. She's needed at home still"
"9","@JamesPKrehbiel1 @AnnieForTruth My daughter and I have covid. It is not over"
"10","@GreenEllsworth @MSNBC Good evening Ellsworth. Great family you have"
"11","@MOGreyBeard thank you just have fun"
"12","@MOGreyBeard You got mine"
"13","@kristyshl @politiolyc @MairScott3 @tRick_the_only @dulcieburt @zazzybritches @MykeyCantona7 @Cha51brolll19… https://t.co/6QINvXpGsn"
"14","@Gdad1 Hell no. They want us dead"
"15","@langtree_lillie Jailbird"
"16","@1MarineCorpsVet It was 2005 first time I saw the same thing. It is stand your ground that causes murder"
"17","@JerasIkehorn Women of kindness everywhere"
"18","@Dollhouse Stayhome"
"19","@mcspocky @BernadetteNTF 🩵"
"20","@gr8shotkeith Desatan is a cushion from total stupidity."
"21","@pjampaganza ❤️"
"22","@KavaScott @DanaSan68018976 Yep he did"
"23","@duksybaby No"
"24","@JayeJaybird54 @Crazy_Mama_G Yes the gop are born to hate. Scary huh"
"25","@PatiKRoll11 @SenMikeLee Traitors lee, hum"
"26","@pjampaganza ❤️"
"27","@Len_Future He gets half maga voted"
"28","@_MethyAnne @mikedreams4 @catturd2 Oh well McCarthy is his besti."
"29","@TheOnlyEsta This was all kinds of wrong"
