"","text"
"1","Dear President Biden, you suck. #Republicans @POTUS #Democrats #USA #Biden @VP #trafficking #BorderCrisis #Ukraine… https://t.co/uPsYIORkl3"
"2","@Target @TargetNews #targetboycott Never shopping here AGAIN! https://t.co/E2u9sOdZRY"
"3","Burning any #northface gear I may have this eve. #LGBTIQ #GoWokeGoBrokeTarget #Groomers Associating @thenorthface w… https://t.co/ZBTKco6Nd3"
"4","Depends. https://t.co/OtBl9gq6do"
"5","@AbprallenUK We see you. #Anonymous #TargetGoWokeGoBroke #Groomers #TargetDealWithTheDevil #PEDOFILI #LGBTQIA… https://t.co/8MqMnlOE8q"
"6","Is there an FBI/IRS-approved entity type that I can associate an EIN to in order to gain access to the Ukrainian-Bi… https://t.co/CiC2qSmBd3"
"7","Camping/summer camp grooming opportunities. Abuse. Child molestation, confusion.... etc. https://t.co/8T0xUFSllE"
"8","@JordanBrace8 https://t.co/zgvDggIwiN"
"9","@RNCResearch @BuckeyeTexan12 Run, bitch."
"10","""Easy to Drink, Easy to Enjoy. 21+ only. Don’t share with anyone under 21. Enjoy responsibly.""  Unless of course if… https://t.co/W9owCZksyU"
"11","Bye, Felicia. https://t.co/RPTLr3N5Bu"
"12","Hey Russia, wheels falling off? @KremlinRussia_E pay attention, America. This is what happens when you have an inco… https://t.co/Hvdf6vR7wH"
"13","@Mike_Pence you have integrity problems. Please go home.  You are not effective in public office.  I am a conservat… https://t.co/XKg8ehPQ8N"
"14","Dear President Biden, you suck. #Republicans @POTUS #Democrats #USA #Biden @VP #trafficking #BorderCrisis #Ukraine… https://t.co/5AHcj1N3ZN"
"15","#GoWokeGoBroke As for me and mine, Target is now banned and boycotted. There are consequences for who you align wit… https://t.co/gaB4oSFWmE"
"16","@GarysBlues now"
"17","@WeThePeople021 Benghazi Blow Job"
"18","@rebeccaradfor15 Yep, and all future lifetime assets or potential liquidated and paid to the victim."
"19","Dear President Biden, you suck. #Republicans
@POTUS #Democrats #USA @VP
#foxnews #houseofrepresentatives… https://t.co/kYPMHDdhpF"
"20","I have an idea, let's reward and then feign objectification of poor lifestyle choices and of physical un-discipline… https://t.co/iHMbO72rFz"
"21","Dear President Biden, you suck. #Republicans @POTUS #Democrats #USA #Biden #BidenBorderCrisis #BidenCrimeFamilly… https://t.co/NaCRBhft9Z"
"22","Dear President Biden, you suck. #Republicans @POTUS #Democrats #USA #Biden #BidenBorderCrisis #BidenCrimeFamilly… https://t.co/h2zg9ILjCD"
"23","#TikTok https://t.co/WxjbaipuP2 #LetsGoBrandon #TruthMatters #CNN #foxnews #twitter #Senate #Republican… https://t.co/x3geEqnuQ4"
"24","Victory! https://t.co/mUH6h5ta5B via @Change #jenksoklahoma #tulsa"
"25","Israel targeted by 800 rockets in 36 hours from Palestinian militant group https://t.co/VtTbbttd9J #FoxNews 

For a… https://t.co/88Teg5vyGF"
"26","@cityoftulsagov #Tulsa #Oklahoma You want to support a Saudi Investment Fund? https://t.co/jwmxUlNv2x #liv #Golf #PGA"
"27","@LisaDNews @KyleClark Only in America."
