"","text"
"1","@DannyDeraney I have a bunch of these I use - they are great! 😃"
"2","@yuhline I'm so sorry that happened to you. 💙"
"3","@GOP @SenateGOP @HouseGOP @SpeakerMcCarthy = It's only about the money, loves systemic racism, pursues continuous v… https://t.co/yjxl5MMXCv"
"4","@MadScientistFF @iamwandasykes ❤️👏❤️"
"5","@GOP @SenateGOP @HouseGOP @SpeakerMcCarthy = It's only about the money, loves systemic racism, pursues continuous v… https://t.co/9Rjr4364ER"
"6","@iamrodneysmith 👏❤️👏"
"7","@pattonoswalt Lion in Winter, 1968?"
"8","@pattonoswalt His Girl Friday, 1940?"
"9","@KwikWarren 🤣🤣🤣"
"10","@GOP @SenateGOP @HouseGOP @SpeakerMcCarthy = It's only about the money, loves systemic racism, pursues continuous v… https://t.co/zRXlBFvgFT"
"11","@GOP @SenateGOP @HouseGOP @SpeakerMcCarthy = It's only about the money, loves systemic racism, pursues continuous v… https://t.co/5sobjPeTNC"
"12","@GOP @SenateGOP @HouseGOP @SpeakerMcCarthy = It's only about the money, loves systemic racism, pursues continuous v… https://t.co/Wzbn1oGSG9"
"13","@GOP @SenateGOP @HouseGOP @SpeakerMcCarthy = It's only about the money, loves systemic racism, pursues continuous v… https://t.co/mlT39cVm9K"
"14","@WendellPierce 👏❤️👏"
"15","@WendellPierce 👏BTW - loved you in ""The Wire""."
"16","@BishopBarron - please respond to the nice lady... https://t.co/o3v8g7iEFY"
"17","@GOP @SenateGOP @HouseGOP @SpeakerMcCarthy = It's only about the money, loves systemic racism, pursues continuous v… https://t.co/dBNBIYKCFg"
"18","@GOP @SenateGOP @HouseGOP @SpeakerMcCarthy = It's only about the money, loves systemic racism, pursues continuous v… https://t.co/1nD2Q36yCN"
"19","@elonmusk - you are so seen...nobody is fooled anymore. https://t.co/3R3MB0C6df"
"20","@GOP @SenateGOP @HouseGOP @SpeakerMcCarthy = It's only about the money, loves systemic racism, pursues continuous v… https://t.co/6ur1As4z8P"
"21","#ThisIsNotRocketScience - but only @TheDemocrats seem to know this...the @GOP prioritizes money over children's liv… https://t.co/t9ixXb9qAI"
"22","@GOP @SenateGOP @HouseGOP @SpeakerMcCarthy = It's only about the money, loves systemic racism, pursues continuous v… https://t.co/tenizPVlyu"
"23","@NYC_Loving_Lady 👏👏👏"
"24","@elonmusk - yeah, just another example of showing you as ridiculously stupid, naive and overly self-serving in oh s… https://t.co/FQZACk2lOx"
"25","@mehdirhasan 👏🏼👏🏼👏🏼"
"26","@TheDemocrats are the only ones who will save America.

Because...@GOP #QAnon #MAGA keep finding a lower ""rock bott… https://t.co/u2zNPQ6cuq"
"27","@TheDemocrats are the only ones who will save America.

Because...@GOP #QAnon #MAGA keep finding a lower ""rock bott… https://t.co/aNuAFcchJw"
"28","@TheDemocrats are the only ones who will save America.

Because...@GOP #QAnon #MAGA keep finding a lower ""rock bott… https://t.co/yjNoE7dYzi"
"29","@TheDemocrats are the only ones who will save America.

Because...@GOP #QAnon #MAGA keep finding a lower ""rock bott… https://t.co/h8FrEyDVha"
"30","@TheDemocrats are the only ones who will save America.

Because...@GOP @TexasGOP keep finding a lower ""rock bottom""… https://t.co/PKBlAriNxe"
"31","@TheDemocrats are the only ones who will save America.

Because...@GOP #QAnon #MAGA keep finding a lower ""rock bott… https://t.co/8bdg82lkKQ"
"32","@TheDemocrats = Patriots

@GOP = It's only about the money, loves systemic racism, created USA voter suppression, a… https://t.co/KmQO5Tna36"
