"","text"
"1","@TheNBACentral No"
"2","History will be made today…hopefully God is with us"
"3","Lakers luck bout to run out"
"4","No cap I like this too https://t.co/zXIsHsIuLz"
"5","@Dame_Lillard Dame please 😭😭😭"
"6","This thread got me weak 😭 https://t.co/VIxOsxI8pP"
"7","This upsets me https://t.co/bMQbpQb6I0"
"8","Bored af"
"9","I sure as hell hope so https://t.co/AtTKuJ9IhC"
"10","Get rid of that old ass PG an sorry ass center ASAP https://t.co/rmdAJTi7kk"
"11","If they don’t have a story these days they’ll make one"
"12","Mikal Bridges, Cam Thomas, Tyler Hero, I can go on an on https://t.co/sk4DvArl6Y"
"13","I've been peeping this. Honestly this why journalism going downhill it's the hate culture https://t.co/J3EtW898T4"
"14","@jadayoungx @elisenailah That’s foul !"
"15","So In Texas teachers get paid more 🤔"
"16","Lauren the most wholesome but y’all want that shiesty  mf Effie … they all bad tho 🥰 https://t.co/dWmoUWlEzx"
"17","That’s my baby an ima stand beside ha"
"18","No friends in the industry 😂🥲"
"19","Clamps https://t.co/vDIbwzIz3i"
"20","An that’s on Hannah Montana https://t.co/JSk4XkDfD8"
"21","Only bad thing about vacation…ion be wanting to go back to work"
"22","I need a fuckin joint"
"23","@DailyLoud He right but unfortunately we won’t"
"24","We not friends and I’m not doing you any favors 💕"
"25","It’s cold as fuck In here 😒"
"26","This is why they are teaching us at FAMU that we need more people of color who have a desire to screen write. This… https://t.co/ZN9gHlko82"
"27","@crackcobain__ Ion even understand why she gave them that dog in the first place. Shit like this pisses me off … free socks man"
"28","What’s understood never has to be explained"
"29","Ion give a fuck that’s dirty lol"
"30","@hbcushaderoom So we not gone talk about how dirty this look. Man’s violating with the camera. Her shoes dirty af a… https://t.co/o9OlrD7o8p"
"31","“Damn both my niggas going to jail today” 😂😂😂"
"32","@AlexisMorrisWBB https://t.co/OGxJGX5Ly6"
"33","@AlexisMorrisWBB Congratulations I became a huge fan in the finals #realballer"
"34","5 years before a trial the criminal system sick af https://t.co/z5M2SAGdQW"
"35","I need a min"
"36","Thank you Lord for dying for me today"
"37","People weird af on the web"
"38","TikTok really that platform"
"39","@IsiahThomas @DetroitPistons You gotta get over your pride my boy"
"40","Trash talk apart of the game. Carry the hell on"
"41","LSU putting a hurting on them 😭😭 I LOVE IT"
"42","@hbcushaderoom She a bum go find better"
"43","Finna be at the bar with my 🍿"
"44","@_amilas Gucci guilty"
