"","text"
"1","@drinkYourOJ Still love it to this day. ♥️❤️‍🔥❤️"
"2","@drinkYourOJ Oh my goodness!! That is fabulous! You look amazing!! Great memories!💜"
"3","@drinkYourOJ Very nice!! ❤️‍🔥"
"4","@drinkYourOJ @MdCL @mashibeats Sweeeeeet💜"
"5","@drinkYourOJ Thank you, hon!! Love you VERY much!💜 https://t.co/EuPPJYmKoJ"
"6","@drinkYourOJ @BVDCAT_ Awesome 💚💙"
"7","@drinkYourOJ Have a tremendous day!! 💜 https://t.co/wbzI41BzYa"
"8","@drinkYourOJ Spectacular!! 💜"
"9","@drinkYourOJ Good afternoon!! Enjoy your evening!!💜 https://t.co/C3tC1vgtIp"
"10","@drinkYourOJ A wonderful “Good Morning” to YOU!!💜 https://t.co/UrcMpTsxvL"
"11","@drinkYourOJ Have an amazing day!!! 💜 https://t.co/GD3gUSgUmr"
"12","@drinkYourOJ @goosetheband Looks phenomenal!!🤩"
"13","@drinkYourOJ @goosetheband Looking forward to hearing all about it!! GOOOOOOOOSSSSSSSSSE!!!💜"
"14","@drinkYourOJ @goosetheband Awesome!!💜"
"15","@drinkYourOJ @goosetheband Have fun!! Enjoy every moment!!😍🥳"
"16","@drinkYourOJ Good Morning to YOU!! 💙💚 https://t.co/v02hZ7iEZb"
"17","@drinkYourOJ Truth!💜 Well said!! 🌏"
"18","@drinkYourOJ Enjoy your day!!💜 https://t.co/VOWuhZ7x7b"
"19","@drinkYourOJ Sweeeeeeet. Great Concert, too! Thank you for sharing!!💜"
"20","@drinkYourOJ Woohoo!! Have a fantastic night enjoying fabulous music!!💜"
"21","@drinkYourOJ Enjoy every moment!!💜"
"22","@drinkYourOJ Have a great night!! 💜 https://t.co/5WoGrxZlk6"
"23","@drinkYourOJ https://t.co/Se1lwk7NYx"
"24","@drinkYourOJ https://t.co/ra0o97YuUz"
"25","@drinkYourOJ Oh no. That is awful."
"26","@drinkYourOJ @Rach_Kay That is totally awesome!!🧡💛🧡"
"27","@drinkYourOJ A wonderful Good Morning, to you!!💜 https://t.co/4hiKq9Ispq"
"28","@drinkYourOJ Although, I do love broccoli. 😜"
"29","@drinkYourOJ I have. Hopefully it has improved. 💜"
